dormitorios,banos,distrito,estacionamiento,descripcion,area_cubierta,precio_soles,area_total,latitud,longitud,banios/2,precio_dolares,fecha_publicacion,antiguedad,moneda
3.0,2.0,barranco,1.0,"Se Alquila Lindo Departamento en Barranco
¡Descubre tu nuevo hogar en el corazón de Barranco! Presentamos este acogedor departamento flat, ideal para quienes buscan comodidad y estilo.

**Características Principales:
- Ubicación privilegiada: Av. El Sol, cerca de parques, cafés y el vibrante arte local.
- Piso: Ubicado en el piso 5, edificio de 7 pisos.
- Área construida: Amplios y bien distribuidos 77.00 m².
- Estacionamiento: 1 puesto incluido para tu comodidad.
- Baños: 2 baños completos, uno para visitas y otro privado en la habitación principal.
- Habitaciones: 3 dormitorios para la familia o para establecer un espacio de trabajo en casa.
- Antigüedad: 5 años, con el mantenimiento perfecto para brindar confort y seguridad.
* Mantenimiento incluye el servicio de agua potable.
* No mascotas.

Disfruta de una ubicación estratégica en Barranco, con fácil acceso a las principales vías y áreas culturales. Este departamento es ideal para aquellos que desean vivir en una zona tranquila y a la vez vibrante de la ciudad.

No pierdas la oportunidad de alquilar este encantador departamento. ¡Tu nuevo comienzo te espera!
**
Leer descripción completa",77.0,2960.0,77.0,-12.1399124,-77.0186056,,800.0,0,5.0,S/ 
3.0,2.0,barranco,1.0,"Se Alquila Lindo Departamento en Barranco
¡Descubre tu nuevo hogar en el corazón de Barranco! Presentamos este acogedor departamento flat, ideal para quienes buscan comodidad y estilo.

**Características Principales:
- Ubicación privilegiada: Av. El Sol, cerca de parques, cafés y el vibrante arte local.
- Piso: Ubicado en el piso 5, edificio de 7 pisos.
- Área construida: Amplios y bien distribuidos 77.00 m².
- Estacionamiento: 1 puesto incluido para tu comodidad.
- Baños: 2 baños completos, uno para visitas y otro privado en la habitación principal.
- Habitaciones: 3 dormitorios para la familia o para establecer un espacio de trabajo en casa.
- Antigüedad: 5 años, con el mantenimiento perfecto para brindar confort y seguridad.
* Mantenimiento incluye el servicio de agua potable.
* No mascotas.

Disfruta de una ubicación estratégica en Barranco, con fácil acceso a las principales vías y áreas culturales. Este departamento es ideal para aquellos que desean vivir en una zona tranquila y a la vez vibrante de la ciudad.

No pierdas la oportunidad de alquilar este encantador departamento. ¡Tu nuevo comienzo te espera!
**
Leer descripción completa",77.0,2960.0,77.0,-12.1399124,-77.0186056,,800.0,0,5.0,S/ 
2.0,2.0,barranco,1.0,"Se Alquila Departamento Duplex en Corazón de Barranco
Se alquila hermoso departamento amoblado y equipado de dos dormitorios, IDEAL para parejas y/o roomates.
Su ubicación es excepcional, se encuentra en jirón Tumbes con la avenida El Sol; por lo cual, puedes llegar caminando y sin preocupaciones a la universidad UTEC, museo MAC, estadio Chipoco, Malecón Paul Harris, Estación Metropolitano, entre otros. Referente a sus vías de acceso, en minutos te conectas a la vía expresa, Costa Verde, la salida a las playas del sur, etc.

Barranco te ofrece, cultura, gastronomía, ferias independientes, playas y mucho no dejes pasar esta oportunidad única.


Características del departamento:


AT: 96 m²
Duplex
Techo de doble altura que da una iluminación y amplitud.


Primer piso:
Sala comedor bien iluminada con vista interna.
Kitchenette, equipado con cocina empotrada, horno, campana, organizadores altos y bajos, campana extractora, refrigeradora y otros.
Sala de estar.
Habitación secundaria, con 02 camas.
Baño completo.


Segundo nivel:
Se accede a traves de una escalera tipo caracol.
Habitación principal con walk-in closet, baño completo y escritorio.
Área de lavandería, con lavadora y secadora.


01 Cochera
Mantenimiento: S/ 80 apróx
Se aceptan mascotas pequeñas
No hay ascensor
Contrato notarial mínimo 1 año
Se solicita 2x1


Este departamento ofrece full comodidad en todos los aspectos, seguridad y una ubicación estratégica en uno de los distritos más emblemáticos de Lima.
Este departamento espera por ti!
**
Leer descripción completa",96.0,2250.0,96.0,-12.1392718,-77.0211538,,600.0,1,0.0,S/ 
1.0,1.0,barranco,1.0,"Se Alquila Lindo Departamento en Barranco
SE AQLUILA LINDO DEPARTAMENTO

BARRANCO

Av. El Sol Oeste 203, Barranco

Excelente ubicación, el distrito más creativo y bohemio de la ciudad, muy céntrico, con salida al Parque de los Héroes y a un paso del malecón Paul Harris

El edificio te recibe con una cafetería de la zona con juegos para niños y espacios de coworking

Edificio de 16 pisos con áreas comunes: terraza con área de BBQ, espacio lounge, piscina y sauna, y en el primer piso espacio para coworking, un super gimnasio y lavandería.

Estacionamiento de bicicletas.

El edificio tiene 8 años de antigüedad con seguridad y consejería de 24 horas

E departamento está ubicado en el piso 6

AT. 40m2 - Vista Interna

Sin amoblar

Gas Calidda

- Sala Comedor con salida al balcón

- 1 baño de visita

- Cocina equipada incorporada

- 1 dormitorio con closet empotrado con 1 baño incorporado con tina

- Centro de lavado

- 1 estacionamiento en el sótano

Condiciones de alquiler:

Contrato por 1 año, 2 x 1

Consultar mascota

S/. 2,000

Mantenimiento S/. 320
**
Leer descripción completa",40.0,2000.0,40.0,-12.1395546,-77.0238794,1.0,535.0,1,8.0,S/ 
3.0,2.0,barranco,,"Departamento de 3 Habitaciones Sin Amoblar en Barranco
Espacioso departamento de 80m² en Barranco. Cuenta con 3 habitaciones, sala, cocina y comedor iluminados, ideales para tu comodidad. Está ubicado cerca de restaurantes, bancos y supermercados y con seguridad 24 horas. Contrato mínimo de 1 año y condiciones de 2x1 (2 meses de garantía y 1 de adelanto). Fotos referenciales, el departamento no viene amoblado.
**
Leer descripción completa",80.0,2974.0,80.0,-12.138541,-77.0176274,,800.0,1,10.0,S/ 
1.0,1.0,barranco,,"Vendo o Alquilo Flat 44 m² - 1 Habitación - Barranco
Este lindo dpto. Tiene una ubicación perfecta . Se encuentra en el piso 9 y con una bonita iluminación natural.

Alquiler amoblado: $700
Venta sin muebles: $125,000
*Precio de venta amoblado a negociar.*

Características:
Sala con bonita decoración.
Dormitorio principal con cama queen, clóset y baño incorporado.
Cocina completamente equipada (cocina, horno, campana extractora, refrigeradora, microondas, vajilla y más).
Terma y cocina a gas (Calidda).
Lavandería con lavadora/secadora.

Areas comunes:
Zona de parrilla.
Sala bar con billar.
Lobby.
Gimnasio.
PIscina.

Mantenimiento: S/ 290 mensuales aprox.
Seguridad 24 horas.
Antigüedad: 4 años.

Edificio se encuentra en calle Juan Fanning con Av. Grau, con fácil acceso a la Vía Expresa, muy cerca a restaurantes, bancos, etc.
**
Leer descripción completa",44.0,463500.0,44.0,-12.1363357,-77.0225231,,125000.0,1,4.0,S/ 
2.0,1.0,barranco,1.0,"Se Alquila Lindo Departamento en La Av El Sol de Barranco
MGinmobiliaria Se alquila departamentos de estreno de 2 dormiros de 70m2. Vista exterior,
cuenta con depósito y estacionamiento.
Ubicado en el distrito de Barranco en la Av. El Sol Este
PRECIO: S/2800 2X1
**
Leer descripción completa",70.0,2800.0,70.0,-12.1383385,-77.0252387,,760.0,1,5.0,S/ 
1.0,1.0,barranco,,"Vive en Barranco. Alquilo o Vendo Moderno Dpto. de 1 Habitación.
Este dpto se encuentra en el piso 5, con una excelente ubicación, perfecto para pareja y/o persona soltera.

Área: 41 m2.
Alquiler amoblado: $700
Venta sin muebles: $119,000
*Precio venta amoblado a negociar*

Características:
Sala decorada con buen gusto.
Dormitorio principal con cama Queen, clóset y baño incorporado.
1 baños completo.
Cocina completamente equipada (cocina, horno, campana extractora, refrigeradora, microondas, vajilla y más).
Terma.
Lavandería.

Areas comunes:
Zona de parrilla.
Lobby.
Gimnasio.
Área de niños.
Lavandería
PIscina.
Área de coworking.

Mantenimiento: S/ 220 mensuales aprox.
Seguridad 24 horas.
Antigüedad: 2 años.

Edificio en Av. El Sol este 176 , a una cuadra de la Av Grau, muy cerca a restaurantes, bancos, etc.
**
Leer descripción completa",41.0,736300.0,41.0,-12.1394382335607,-77.02104203331297,,119000.0,1,2.0,S/ 
1.0,1.0,barranco,,"Alquilo Departamento de Estreno 1 Dormitorio Gimnasio Piscina Co - Working
Lindo departamento de estreno, con vista interior pero iluminado. Edificio con áreas comunes con: Piscina, gimnasio, 2 zonas privadas para hacer BBQ, Amplia zona de coworking, una sala -bar con TV gigante y terraza. Línea Blanca. No tine cochera pero hay varias cocheras en alquiler.
Áreas comunes, gimnasio común, área de bbq común.
Piso 7, 21 pisos, 10 departamentos por piso.
Guardianía, se permiten mascotas, flat, 1 año de antigüedad, vista interior, estreno.
Línea blanca, living-comedor, kitchenette, 1 dormitorios, 1.0 baño, pisos de laminado en área privada, pisos de laminado en área social, ascensor, balcón de 2.00 m2, piscina.
**
Leer descripción completa",40.0,2040.0,40.0,-12.1401232,-77.02212639999999,,550.0,1,1.0,S/ 
3.0,2.0,barranco,1.0,"Alquiler Departamento 3 Habitaciones. Incluye Cochera
Alquiler de departamento en Barranco – Piso 17, vista externa, pet-friendly

Ubicación: Barranco
Área: 75m²
Precio: S/ 2,800
Condiciones: 2x1 (2 meses de garantía y 1 de adelanto)

Vive en el corazón de Barranco con una espectacular vista externa desde el piso 17. Este moderno departamento de 3 habitaciones, 2 baños y 1 cochera es ideal para quienes buscan comodidad, excelente ubicación y un estilo de vida vibrante.

Características:
Amplia sala-comedor con iluminación natural y vista panorámica
Cocina funcional con muebles altos y bajos
Dormitorio principal con baño incorporado y pequeño balcón.
Dos dormitorios secundarios con clósets
Baño completo compartido
Balcón con vista externa desde la sala comedor
Acepta mascotas pequeñas
1 cochera incluida

Áreas comunes del edificio: salón de juego para niños, SUM, zona de parrillas.

Ubicación estratégica:
A pocos minutos del Malecón de Barranco
Cerca de la Estación Balta (Metropolitano)
Rodeado de cafés, restaurantes, supermercados y con acceso rápido a Miraflores

¡Agenda tu visita ahora! Contáctame para más información.
**
Leer descripción completa",75.0,2800.0,75.0,-12.13819677001328,-77.01757867155267,,750.0,1,8.0,S/ 
