dormitorios,banos,distrito,precio,area,latitud,longitud,fecha_publicacion,antiguedad,direccion,precision,type,precioxm2,dorm_ban
3.0,2.0,barranco,2960.0,77.0,-12.1399124,-77.0186056,0,5.0,"Ca. Enrique Barrón 280, Barranco 15063, Peru",ROOFTOP,street_address,38.44155844155844,"3.0,2.0"
2.0,2.0,barranco,2250.0,96.0,-12.1392718,-77.0211538,1,0.0,"Jr. Tumbes 306, Lima 15063, Peru",ROOFTOP,street_address,23.4375,"2.0,2.0"
1.0,1.0,barranco,2000.0,40.0,-12.1395546,-77.0238794,1,8.0,"Av. el Sol Oeste 203 - 504, Barranco 15063, Peru",ROOFTOP,establishment,50.0,"1.0,1.0"
3.0,2.0,barranco,2974.0,80.0,-12.138541,-77.0176274,1,10.0,"Av. República de Panamá 330, Barranco 15049, Peru",ROOFTOP,establishment,37.175,"3.0,2.0"
2.0,1.0,barranco,2800.0,70.0,-12.1383385,-77.0252387,1,5.0,"Edificio El Sol 450, Av. el Sol Oeste 448, Barranco 15063, Peru",ROOFTOP,street_address,40.0,"2.0,1.0"
1.0,1.0,barranco,2040.0,40.0,-12.1401232,-77.02212639999999,1,1.0,"Av. Almte. Miguel Grau 1118, Barranco 15063, Peru",ROOFTOP,street_address,51.0,"1.0,1.0"
3.0,2.0,barranco,2800.0,75.0,-12.13819677001328,-77.01757867155267,1,8.0,"Av. República de Panamá 3, Barranco 15049, Peru",ROOFTOP,street_address,37.333333333333336,"3.0,2.0"
1.0,1.0,barranco,2390.0,50.0,-12.153239757491658,-77.02288807418006,1,5.0,"Auxiliar Av. Pedro de Osma 315, Barranco 15063, Peru",ROOFTOP,street_address,47.8,"1.0,1.0"
1.0,1.0,barranco,2390.0,30.0,-12.1503126,-77.01851110000001,1,1.0,"Augusto Tamayo Vargas 299, Barranco 15063, Peru",ROOFTOP,establishment,79.66666666666667,"1.0,1.0"
3.0,2.0,barranco,2000.0,80.0,-12.1409883,-77.016638,2,5.0,"Parque Alto 128, Lima 15049, Peru",ROOFTOP,street_address,25.0,"3.0,2.0"
2.0,2.0,barranco,3720.0,65.0,-12.1366941,-77.0224643,2,3.0,"Av. Almte. Miguel Grau 1540, Barranco 15063, Peru",ROOFTOP,establishment,57.23076923076923,"2.0,2.0"
1.0,1.0,barranco,2500.0,50.0,-12.1365798,-77.0225352,2,4.0,"Av. Almte. Miguel Grau 1554, Barranco 15063, Peru",ROOFTOP,street_address,50.0,"1.0,1.0"
1.0,1.0,barranco,2970.0,40.0,-12.1396649,-77.0230009,2,2.0,"Av. el Sol 161, Barranco 15063, Peru",ROOFTOP,establishment,74.25,"1.0,1.0"
1.0,1.0,barranco,2405.0,44.0,-12.1450393,-77.02318400000001,3,6.0,"int. 107, Av. San Martín 153, Barranco 15063, Peru",ROOFTOP,establishment,54.65909090909091,"1.0,1.0"
1.0,1.0,barranco,2250.0,42.0,-12.1373839,-77.0223168,2,5.0,"Av. Almte. Miguel Grau 1430, Barranco 15063, Peru",ROOFTOP,street_address,53.57142857142857,"1.0,1.0"
3.0,3.0,barranco,4800.0,106.0,-12.1400164,-77.0246667,3,10.0,"Ca. las Magnolias 103, Barranco 15063, Peru",ROOFTOP,street_address,45.283018867924525,"3.0,3.0"
1.0,1.0,barranco,2200.0,45.0,-12.1389877,-77.02116380000001,1,4.0,"Jr. Tumbes 318, Barranco 15063, Peru",ROOFTOP,street_address,48.888888888888886,"1.0,1.0"
1.0,1.0,barranco,2250.0,52.0,-12.156885,-77.0231706,3,3.0,"Av. Chorrillos 162, Chorrillos 15063, Peru",ROOFTOP,street_address,43.26923076923077,"1.0,1.0"
2.0,1.0,barranco,2500.0,55.0,-12.1403178,-77.02114210000002,3,8.0,"15063, Jirón Fedelli, Barranco 15063, Peru",GEOMETRIC_CENTER,electrician,45.45454545454545,"2.0,1.0"
2.0,2.0,barranco,2895.0,65.0,-12.136681340506458,-77.0224147499357,3,2.0,"Av. Almte. Miguel Grau 1540, Barranco 15063, Peru",ROOFTOP,establishment,44.53846153846154,"2.0,2.0"
1.0,1.0,barranco,2000.0,38.0,-12.1337288,-77.0191908,3,4.0,"Felipe Sassone 200, Barranco 15047, Peru",ROOFTOP,street_address,52.63157894736842,"1.0,1.0"
3.0,2.0,barranco,4464.0,110.0,-12.1409998,-77.0232203,3,2.0,"Av. San Martín 512, Lima 15063, Peru",ROOFTOP,street_address,40.58181818181818,"3.0,2.0"
1.0,1.0,barranco,2800.0,60.0,-12.0686022,-77.0293599,1,8.0,"WXJC+H72, Jr. Sáenz Peña, La Victoria 15033, Peru",ROOFTOP,establishment,46.666666666666664,"1.0,1.0"
1.0,1.0,barranco,2438.0,40.0,-12.135961,-77.01972839999999,4,4.0,"Ca. Enrique Barrón 710, Lima 15063, Peru",ROOFTOP,street_address,60.95,"1.0,1.0"
3.0,2.0,barranco,2850.0,100.0,-12.1334984,-77.0195365,4,18.0,"Felipe Sassone 183, Barranco 15047, Peru",ROOFTOP,street_address,28.5,"3.0,2.0"
1.0,1.0,barranco,2405.0,40.0,-12.1407642,-77.015126,5,0.0,"Jr. García y García 700, Barranco 15049, Peru",ROOFTOP,street_address,60.125,"1.0,1.0"
2.0,2.0,barranco,2750.0,70.0,-12.1394361,-77.0199176,5,2.0,"Av. el Sol Este 450, Barranco 15063, Peru",ROOFTOP,street_address,39.285714285714285,"2.0,2.0"
3.0,2.0,barranco,3360.0,133.0,-12.1395412,-77.0218577,5,8.0,"Av. el Sol Este 116, Barranco 15063, Peru",ROOFTOP,street_address,25.263157894736842,"3.0,2.0"
1.0,1.0,barranco,1860.0,28.0,-12.1382352,-77.0222169,3,1.0,"Av. Almte. Miguel Grau 1350, Barranco 15063, Peru",ROOFTOP,street_address,66.42857142857143,"1.0,1.0"
1.0,1.0,barranco,2700.0,40.0,-12.1395123,-77.0216345,3,1.0,"Av. el Sol Este 150, Barranco 15063, Peru",ROOFTOP,street_address,67.5,"1.0,1.0"
